"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Club.on.20.Dec.2018","sheets.players.League","sheets.players.Age.on.20.Dec.2018","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Words","sheets.players.Desked.by","sheets.players.To.be.subbed.by","sheets.players.Subbed","sheets.players.Revised","sheets.furniture.headline","sheets.furniture.standfirst","sheets.furniture.pagestrap","sheets.furniture.shareurl"
"76","45","-31","Leonardo Bonucci","Defender","Juventus","Italy","31","Italy","Italian, Serie A, Defenders","","","https://media.guim.co.uk/8e7248c8f070b07f5883cfadaadf18007369308c/1662_50_1816_1816","cropRatio=1816,1816&size=140,500,1000,1816","https://media.guim.co.uk/abc750efc40c99022c44f9ebcabd2615af634baf/0_58_3000_1800","cropRatio=3000,1800&size=140,500,1000,2000,3000","","After a disastrous season with Milan, Bonucci is <a href=""https://www.theguardian.com/football/2018/jul/31/gonzalo-higuain-milan-juventus-bonucci-returns"">back in his Juventus comfort zone</a>. Not that it might have felt all that comfortable to begin this season, with a portion of the team’s fanbase decrying him as a traitor and jeering his every touch at home games. He has begun to win those supporters back over with his performances, however, and especially with a goal that sealed victory <a href=""https://www.theguardian.com/football/blog/2018/oct/01/juventus-in-daunting-form-as-ronaldo-turns-provider-against-napoli"">over Napoli in September</a>. Defensively there have been missteps, but those look less glaring on a team with the quality to protect him, and Bonucci’s passing range is a huge asset going forward.","Paolo Bandini","","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"77","","New entry","Marcos Alonso","Defender","Chelsea","England","27","Spain","Spanish, Premier League, Defenders","","","https://media.guim.co.uk/36ba02b4d51ac5bd3a7c026ad2b8a7748e2023d3/1078_179_1595_1594","cropRatio=1595,1594&size=140,500,1000,1595","https://media.guim.co.uk/fdd8f0dcaf5457628f5334813738e85718628b92/0_228_3500_2100","cropRatio=3500,2100&size=140,500,1000,2000,3500","","A new entry in the Guardian’s list, there was a degree of scepticism when the former Bolton and Sunderland player was restored to the Premier League with Chelsea back in 2016, but Alonso has proved a key player under both Antonio Conte and Maurizio Sarri. He carries <a href=""https://www.theguardian.com/football/2018/aug/18/chelsea-arsenal-premier-league-match-report"">a potent goal threat</a> from left-back or left wing-back, can be vicious from dead-ball situations and, despite lacking explosive pace on the recovery, is improving defensively. It says much for his marked progress in 2018 that he has finally graduated into the senior Spain setup, with clubs back home taking notice of his progress.","Dominic Fifield","","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"78","","New entry","Son Heung-min","Forward","Tottenham Hotspur","England","26","South Korea","Other nationalities, Premier League, Forwards","","","https://media.guim.co.uk/f58606da0370510f26f93d341223fd23bf8ba0f8/1015_45_1839_1840","cropRatio=1839,1840&size=500,1000,1839","https://media.guim.co.uk/d3fa3f01c7b309dc101760c372b32c0a9e2052d9/0_73_4893_2936","cropRatio=4893,2936&size=140,500,1000,2000,4893","","Low maintenance, <a href=""https://www.theguardian.com/football/blog/2018/dec/05/son-heung-min-spurs-premier-league"">high-energy crowd favourite</a>, Son is arguably the biggest football star in Asia. Leaves everything out on the pitch and has become a consistent goal threat, finishing last season with 18 in all competitions for Spurs. This year has been hugely significant for the wide forward on the international stage. He scored twice at the World Cup finals for South Korea, including one <a href=""https://www.theguardian.com/football/blog/2018/dec/05/son-heung-min-spurs-premier-league"">as they eliminated Germany</a> at the group phase – although they themselves did not progress – while he led his country to <a href=""https://www.theguardian.com/football/2018/sep/01/son-heung-min-spared-military-service-south-korea-asian-games-gold"">victory at the Asian Games</a>, which earned him an exemption from military service.","David Hytner","","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"79","","New entry","Harry Maguire","Defender","Leicester City","England","25","England","English, Premier League, Defenders","","","https://media.guim.co.uk/1f278d5043a6c4036b74fc0feeeddc3983681b0b/1739_129_1100_1100","cropRatio=1100,1100&size=140,500,1000,1100","https://media.guim.co.uk/26a9dc7137573d6980c2159ef0dc8c7cb4088e10/0_115_5273_3164","cropRatio=5273,3164&size=140,500,1000,2000,5273","","Perhaps the best reminder of how far Maguire has come is the photo of him and his mates supporting England at Euro 2016. Two years later they were all at the World Cup following England again, only this time Maguire was playing. Not just playing but <a href=""https://www.theguardian.com/football/2018/jul/05/mosborough-moscow-england-harry-maguire-huge-source-pride"">excelling on the biggest stage</a>, where Maguire’s stellar performances at the heart of the England defence (as well as the size of his head and ability to ride inflatable unicorns) transformed his profile. A new entry on this list, the Yorkshireman <a href=""https://www.theguardian.com/football/2018/sep/09/harry-maguire-leicester-city-england-switzerland"">signed a five-year contract with Leicester</a> in September after being heavily linked with Manchester United.","Stuart James","","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"80","","New entry","Kyle Walker","Defender","Manchester City","England","28","England","English, Premier League, Defenders","","","https://media.guim.co.uk/b099dde1559edb9cbb69622dca0c0b224974f49a/1065_95_675_675","cropRatio=675,675&size=140,500,675","https://media.guim.co.uk/82296d6d69e3d59ff9fbf5d89fed258a5e3ef0df/826_1106_3032_1930","cropRatio=3032,1930&size=140,500,1000,2000,3032","","The 28-year-old’s form this year gives him a strong case to be considered the finest right-back in the world and one of the most complete defenders, given his performances as <a href=""https://www.theguardian.com/football/2018/may/26/kyle-walker-england-world-cup-huge-steps"">a centre-back for Gareth Southgate’s three-man England back line</a>. Walker was a revelation in that role as the team reached the semi-finals in Russia. His serious pace means one criticism is that he should perhaps be a more potent creative force and, if he can add that to his armoury, then next year a top 50 place may be within his grasp.","Jamie Jackson","","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"81","39","-42","Gabriel Jesus","Forward","Manchester City","England","21","Brazil","Brazilian, Premier League, Forwards","","","https://media.guim.co.uk/21e449fa69425cee9ad5960353382406ae04d9df/1889_244_1358_1358","cropRatio=1358,1358&size=140,500,1000,1358","https://media.guim.co.uk/0c5be1f5865045dbda2afe8908d9efeb220ec001/1564_1053_3620_2172","cropRatio=3620,2172&size=140,500,1000,2000,3620","","A drop of 42 places from 2017 shows just how disappointing Jesus’s year has been. The striker did score 13 league goals last season but has just a handful of goals this campaign and he was also goalless at the World Cup despite being Brazil’s centre-forward. Pep Guardiola dropped him for the defeat at Chelsea – a significant move that came despite Sergio Agüero being ruled out with injury. When brought off the bench, Jesus failed to score as City suffered a first league defeat. The 21-year-old has been troubled by injuries of his own – <a href=""https://www.theguardian.com/football/2018/jan/01/gabriel-jesus-manchester-city-knee-ligament-injury"">a knee problem ruled him out</a> from January to late February – and he has not recaptured his finest form since. Two goals against Everton in mid-December, however, showed that he may be about to recapture his best form. ","Jamie Jackson","","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"82","","New entry","James Milner","Midfielder","Liverpool","England","32","England","English, Premier League, Midfielders","","","https://media.guim.co.uk/291459291c619116aa0711556b4cdd90c4884b06/663_107_1172_1172","cropRatio=1172,1172&size=140,500,1000,1172","https://media.guim.co.uk/e1bf29427371a050ba960f34e3950eba104916ef/330_365_3543_2126","cropRatio=3543,2126&size=140,500,1000,2000,3543","","The ""Boring Milner"" image is not the only thing Liverpool’s seasoned midfielder has made a complete mockery of. At 32, and with competition increasing at the heart of a team with Premier League title ambitions, it would be understandable for Milner’s influence to be on the wane. The opposite has occurred in Jürgen Klopp’s midfield. Milner ended last season having provided the most assists in a single Champions League campaign – nine, bettering returns from players <a href=""https://www.theguardian.com/football/blog/2018/apr/25/james-milner-liverpool-in-vogue-barney-ronay"">such as Neymar, Xavi and Andrés Iniesta</a> – yet both his form and importance have risen during Liverpool’s commanding start to the current league campaign.","Andy Hunter","","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"83","58","-25","Gerard Piqué","Defender","Barcelona","Spain","31","Spain","Spanish, La Liga, Defenders","","","https://media.guim.co.uk/f09a7b4ff223ed3ae84919b3a00b44276f9afba3/1072_277_3047_3047","cropRatio=3047,3047&size=140,500,1000,2000,3047","https://media.guim.co.uk/effb4fd84fb7311ddc73f92c6a05a1d9085d8543/237_288_3628_2177","cropRatio=3628,2177&size=140,500,1000,2000,3628","","The man who <a href=""https://www.theguardian.com/sport/2018/feb/26/davis-cup-shake-up-planned-18-nation-world-cup-style-format"">reinvented the Davis Cup</a>, taking on the tennis world; whose production company produced Antoine Griezmann’s documentary, The Decision, in which he announced live that he was not joining Barcelona after all; who lectures in the US, has connections with Silicon Valley and aspires to be a leader of business and president of FC Barcelona; who stood up to <a href=""https://www.theguardian.com/football/2017/oct/04/gerard-pique-catalan-referendum-footballer-express-himself"">defend the Catalans’ right to decide on independence</a> and who was attacked for it; a favourite target for much of the media, is also a very good defender. A much better one than many seem to think. He drops 25 places on our list.","Sid Lowe","","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"84","","Re-entry","Memphis Depay","Forward","Lyon","France","24","Netherlands","Other nationalities, Ligue 1, Forwards","","","https://media.guim.co.uk/74b9a2803a1e866e2690521e7194aa17836f1bad/1410_146_779_779","cropRatio=779,779&size=140,500,779","https://media.guim.co.uk/85fb94441176f256500a613bbe90a1881ccdecd4/0_19_4783_2871","cropRatio=4783,2871&size=140,500,1000,2000,4783","","After <a href=""https://www.theguardian.com/football/2017/jan/18/memphis-depay-manchester-united-lyon"">losing his way at Manchester United</a>, the Dutchman has rediscovered his form at Lyon and enters the top 100 for the <a href=""https://www.theguardian.com/football/ng-interactive/2015/dec/21/the-100-best-footballers-in-the-world-2015-interactive"">first time since 2015</a> as an inspirational presence for club and country. He was perhaps the best player in Ligue 1 in the second half of last season, finishing the campaign with 19 goals, 12 assists and countless thrilling runs. His spectacular performances also contributed to the revival of the Netherlands, whom he helped to Nations League success by scoring in the victories over Germany and France. “Football pitch you like a zoo, only lions is what I know,” he explained in a special rap he released in November to celebrate reaching five million Instagram followers. Because that’s how the self-styled “young king living lavish” rolls.","Paul Doyle","","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"85","","New entry","Ante Rebic","Forward","Eintracht Frankfurt","Germany","25","Croatia","Other nationalities, Bundesliga, Forwards","","","https://media.guim.co.uk/b6be7a6d75152fecb3cc8b11e6f1bcb622ff8eda/1038_25_817_817","cropRatio=817,817&size=140,500,817","https://media.guim.co.uk/b1d572e270c14ef46d44f1ca3d492271d1b9d37a/0_200_2147_1288","cropRatio=2147,1288&size=140,500,1000,2000,2147","","Rebic is one of the most confusing players at the top level of European football, which explains why this is his first appearance in the 100 at the age of 25. Failing to make the grade at Hajduk Split as a youngster or at Fiorentina as a senior, he showed his talent in the Bundesliga last season, capping it off with a brace in Eintracht Frankfurt’s <a href=""https://www.theguardian.com/football/2018/may/19/eintracht-frankfurt-beat-bayern-munich-german-cup-final"">shock DfB Pokal final win</a> over Bayern. He was incandescent at the World Cup, <a href=""https://www.theguardian.com/football/2018/may/19/eintracht-frankfurt-beat-bayern-munich-german-cup-final"">scoring the vital opener against Argentina</a> en route to the final, and continues to flourish with an attack-minded Eintracht this season. 
","Andy Brassell","","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"86","","New entry","John Stones","Defender","Manchester City","England ","24","England ","English, Premier League, Defenders","","","https://media.guim.co.uk/737ec9fed2f31ce7eb510e4524cb4022cabc5008/893_143_2589_2589","cropRatio=2589,2589&size=140,500,1000,2000,2589","https://media.guim.co.uk/dc83e05d7355f4127f6684d485111e19269f57ff/36_88_2764_1659","cropRatio=2764,1659&size=140,500,1000,2000,2764","","The centre-back has grown into his role as the de facto deepest-lying midfielder in Pep Guardiola’s side, with the manager an admirer of his bravery on the ball and willingness to create despite the mistakes that can still bedevil his game. Stones has finally become the first-choice he was signed to be in 2016: Guardiola recently stated that he and Aymeric Laporte are his preferred pairing when on form, as Vincent Kompany’s City career winds down. The 24-year-old was also in England’s World Cup XI, scoring twice against Panama <a href=""<a href=""https://www.theguardian.com/football/2018/jun/24/england-panama-world-cup-2018-match-report-harry-kane-john-stones-jesse-lingard"">in the 6-1 group stage win</a>. ","Jamie Jackson","","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"87","","New entry","Denis Cheryshev","Midfielder","Valencia","Spain","27","Russia","Other nationalities, La Liga, Midfielders","","","https://media.guim.co.uk/5cb5cf739c36c5e088e9c8562c2ce679d9710a79/1440_189_797_797","cropRatio=797,797&size=140,500,797","https://media.guim.co.uk/d94100e6127eb84773d0c3e946bbf6b1c961a877/0_0_3684_2211","cropRatio=3684,2211&size=140,500,1000,2000,3684","","Few expected Russia to provide one of the World Cup’s on-field success stories, and among the more optimistic souls you would have struggled to find anyone tipping Cheryshev as the man to light their way to the last eight. The winger’s club career has been patchy and there was a sense of promise unfulfilled until, during the first half of the opening game against Saudi Arabia, he replaced the injured Alan Dzagoev. He proceeded to score two fine goals and forced his way into the starting XI, proving a tricky, <a href=""https://www.theguardian.com/football/2018/jun/30/russias-rising-star-denis-cheryshev-out-to-upset-his-adopted-homeland"">fleet-footed menace throughout Russia’s run</a> and thundering in a long-range opener <a href=""https://www.theguardian.com/football/blog/2018/jul/07/russia-demobilised-early-from-world-cup-but-with-nation-won-over"">against Croatia during their quarter-final</a>. Cheryshev had returned to the national squad only in March after a two-year absence; he has not exactly sparkled since returning to Valencia on loan in August but that simply goes to emphasise how deliciously unexpected his magical summer was.","Nick Ames","","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"88","68","-20","Diego Costa","Forward","Atlético Madrid","Spain","30","Spain","Spanish, La Liga, Forwards","","","https://media.guim.co.uk/908137bb19f37d99092fc6817eb34ecb6f211b07/1962_352_2157_2157","cropRatio=2157,2157&size=140,500,1000,2000,2157","https://media.guim.co.uk/79f1caaa8ab83363dce8800e4b751dbc27914886/0_136_3942_2366","cropRatio=3942,2366&size=140,500,1000,2000,3942","","Costa’s warrior gifts helped set the tone for Diego Simeone’s early successes at Atlético Madrid and, to that end, he remains true to his old self. He has been ruled out until February after playing through a foot problem, and although he has never been one to give up lightly it might help him rediscover his cutting edge. While <a href=""https://www.theguardian.com/football/2018/jun/15/spain-portugal-world-cup-group-b-match-report"">two goals in Spain’s World Cup draw with Portugal</a> were a reminder of his rampaging best, his tally for Atlético has fallen short of his old standards. True, he has not lost his sense of occasion – a <a href=""https://www.theguardian.com/football/2018/may/03/atletico-madrid-arsenal-europa-league-semi-final-match-report"">decisive Europa League strike against Arsenal</a>, two in the <a href=""https://www.theguardian.com/global/2018/aug/15/real-madrid-atletico-madrid-european-super-cup-match-report"">Uefa Super Cup against Real Madrid</a> and an <a href=""https://www.theguardian.com/football/2018/nov/24/barcelona-atletico-madrid-match-report"">opener against Barcelona in November</a> are proof of that – but there is a nagging sense injuries are finally taking their toll.","Nick Ames","","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"89","","New entry","Matthijs de Ligt","Defender","Ajax","Netherlands","19","Netherlands","Other nationalities, Other leagues, Defenders","","","https://media.guim.co.uk/6323822644f3467031a5b1b570c6148ec61ea603/582_203_1148_1147","cropRatio=1148,1147&size=140,500,1000,1148","https://media.guim.co.uk/5da19bd59a2c54027674d435c1f308d9c072c36e/0_54_4282_2569","cropRatio=4282,2569&size=140,500,1000,2000,4282","","Another one to emerge from <a href=""https://www.theguardian.com/football/2018/nov/06/ajax-de-jong-de-ligt-talent-factory-champions-league"">Ajax’s flourishing academy</a>, the 19-year-old defender is noted for his elegance on the ball and ability to read the game. He has made rapid development this year, forming an encouraging partnership with Virgil van Dijk for the Netherlands after recovering from a dodgy international debut to dislodge Internazionale’s Stefan de Vrij, and enhanced his reputation when he kept Robert Lewandowski quiet in Ajax’s 1-1 draw with Bayern Munich at the Allianz Arena in October. No wonder some of Europe’s biggest clubs are <a href=""https://www.theguardian.com/football/2018/may/22/pep-guardiola-considers-making-move-for-ajax-defender-matthijs-de-ligt-manchester-city"">casting covetous glances</a> at a player described as the new Jaap Stam.","Jacob Steinberg","","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"90","34","-56","Gonzalo Higuaín","Forward","Milan","Italy","31","Argentina","Other nationalities, Serie A, Forwards","","","https://media.guim.co.uk/9bb4572fdb2a8f94234843f7db3ef85e3976a064/769_18_2201_2201","cropRatio=2201,2201&size=140,500,1000,2000,2201","https://media.guim.co.uk/b129336384573a00628f907232d08d18ec09cd15/0_0_4200_2520","cropRatio=4200,2520&size=140,500,1000,2000,4200","","Not the best of years for the Argentina striker, who has always had his detractors. He falls 56 places on our list after a year in which he was part of Argentina's disappointing World Cup campaign and was turfed out of Juventus – <a href=""https://www.theguardian.com/football/2018/jul/31/gonzalo-higuain-milan-juventus-bonucci-returns"">on loan to Milan</a> – to make way for a certain Cristiano Ronaldo. He has not done badly at Milan, between injuries and suspensions and had, by mid-December, five goals in 11 Serie A games and two in five Europa League matches. But the goals came quite early in the season and the sense is that <a href=""https://www.theguardian.com/football/2018/nov/12/gonzalo-higuain-milan-juventus-red-card-serie-a-football"">time is slowly running out</a> for a player who has been an outstanding goalscorer but never the quickest. ","Marcus Christenson","","","","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
